ano_materia,autoria_texto,casa,id_principal,id_documento,data_texto,descricao_identificacao_materia,descricao_objetivo_processo,descricao_subtipo_materia,descricao_texto,descricao_tipo_texto,formato_texto,identificacao_comissao_codigo_comissao,identificacao_comissao_nome_casa_comissao,identificacao_comissao_nome_comissao,identificacao_comissao_sigla_casa_comissao,identificacao_comissao_sigla_comissao,indicador_tramitando,nome_casa_identificacao_materia,numero_emenda,numero_materia,sigla_casa_identificacao_materia,sigla_subtipo_materia,tipo_documento,url_texto
2019,Senado Federal,senado,135165,7916576,2019-02-12,PDL 25/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00025,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916576
2019,Senador Telmário Mota (PROS/RR),senado,135165,8039928,2019-11-19,PDL 25/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Relatório Legislativo - SF190588349810,Relatório Legislativo,application/pdf,834,Senado Federal,Comissão de Direitos Humanos e Legislação Participativa,SF,CDH,Sim,Senado Federal,NA,00025,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8039928
2019,Senador Mecias de Jesus (PRB/RR),senado,135175,7916250,2019-02-11,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 28/2019 (Casa iniciadora-SF),Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916250
2019,Senado Federal,senado,135175,7916790,2019-02-12,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916790
2019,Senador Telmário Mota (PROS/RR),senado,135175,7937319,2019-04-03,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Relatório Legislativo - SF195461696557,Relatório Legislativo,application/pdf,834,Senado Federal,Comissão de Direitos Humanos e Legislação Participativa,SF,CDH,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7937319
2019,Senador Telmário Mota (PROS/RR),senado,135175,8000883,2019-09-02,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Relatório Legislativo - SF193071503377,Relatório Legislativo,application/pdf,834,Senado Federal,Comissão de Direitos Humanos e Legislação Participativa,SF,CDH,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8000883
2019,Comissão de Direitos Humanos e Legislação Participativa,senado,135175,8017643,2019-09-26,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Listagem ou relatório descritivo,Listagem ou relatório descritivo,application/pdf,834,Senado Federal,Comissão de Direitos Humanos e Legislação Participativa,SF,CDH,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8017643
2019,Comissão de Direitos Humanos e Legislação Participativa,senado,135175,8017666,2019-09-26,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,P.S 131/2019 - CDH,Parecer,application/pdf,834,Senado Federal,Comissão de Direitos Humanos e Legislação Participativa,SF,CDH,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8017666
2019,"Líder do REPUBLICANOS Mecias de Jesus (REPUBLICANOS/RR), Líder do PSC Zequinha Marinho (PSC/PA), Líder do CIDADANIA Alessandro Vieira (CIDADANIA/SE), Líder do Governo Fernando Bezerra Coelho (MDB/PE), Líder do PP Daniella Ribeiro (PP/PB), Líder do REDE Randolfe Rodrigues (REDE/AP), Líder do MDB Eduardo Braga (MDB/AM), Líder do PDT Weverton (PDT/MA), Líder do PODEMOS Eduardo Girão (PODEMOS/CE), Líder do DEM Rodrigo Pacheco (DEM/MG)",senado,135175,8023591,2019-10-10,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 889/2019,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023591
2019,Comissão Diretora do Senado Federal,senado,135175,8027320,2019-10-16,PDL 28/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,P.S 240/2019 - PLEN,Parecer de redação,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Não,Senado Federal,NA,00028,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8027320
